Q (mW/m2),U (mW/m2),X,Y,Lat,Lon
95.35,53.645,-1000000,-800000,-78.253,-128.66
87.378,50.159,-994974,-800000,-78.289,-128.801
89.067,53.761,-989949,-800000,-78.325,-128.942
94.701,53.498,-984924,-800000,-78.36,-129.085
103.499,55.906,-979899,-800000,-78.396,-129.229
110.669,59.555,-974874,-800000,-78.431,-129.373
115.084,62.204,-969849,-800000,-78.466,-129.518
105.77,58.39,-964824,-800000,-78.502,-129.664
94.651,50.771,-959799,-800000,-78.537,-129.811
78.441,43.233,-954773,-800000,-78.572,-129.959
86.876,50.384,-949748,-800000,-78.607,-130.108
82.26,49.815,-944723,-800000,-78.642,-130.258
81.415,51.151,-939698,-800000,-78.677,-130.409
88.058,50.971,-934673,-800000,-78.712,-130.561
96.557,54.2,-929648,-800000,-78.747,-130.713
105.932,59.44,-924623,-800000,-78.781,-130.867
106.946,60.287,-919598,-800000,-78.816,-131.021
103.297,57.748,-914572,-800000,-78.851,-131.177
101.579,57.005,-909547,-800000,-78.885,-131.334
98.113,55.088,-904522,-800000,-78.919,-131.491
119.628,61.418,-899497,-800000,-78.954,-131.649
97.68,52.587,-894472,-800000,-78.988,-131.809
91.465,48.861,-889447,-800000,-79.022,-131.969
88.976,48.088,-884422,-800000,-79.056,-132.131
94.849,53.031,-879397,-800000,-79.09,-132.293
90.779,48.306,-874371,-800000,-79.124,-132.457
98.709,54.955,-869346,-800000,-79.158,-132.621
98.243,57.056,-864321,-800000,-79.191,-132.787
103.649,59.295,-859296,-800000,-79.225,-132.953
109.275,58.504,-854271,-800000,-79.259,-133.121
108.261,56.953,-849246,-800000,-79.292,-133.29
111.05,57.318,-844221,-800000,-79.325,-133.459
115.03,58.195,-839196,-800000,-79.359,-133.63
118.523,58.512,-834170,-800000,-79.392,-133.802
121.077,59.15,-829145,-800000,-79.425,-133.975
123.314,59.859,-824120,-800000,-79.458,-134.149
123.006,59.597,-819095,-800000,-79.491,-134.324
122.529,59.312,-814070,-800000,-79.523,-134.501
112.954,57.583,-809045,-800000,-79.556,-134.678
101.316,55.391,-804020,-800000,-79.589,-134.856
93.092,51.101,-798995,-800000,-79.621,-135.036
91.683,57.538,-793969,-800000,-79.653,-135.217
101.864,58.868,-788944,-800000,-79.686,-135.399
106.394,59.136,-783919,-800000,-79.718,-135.582
106.297,58.668,-778894,-800000,-79.75,-135.766
105.355,57.918,-773869,-800000,-79.782,-135.951
103.57,57.017,-768844,-800000,-79.814,-136.138
99.767,55.322,-763819,-800000,-79.846,-136.325
93.874,52.428,-758794,-800000,-79.877,-136.514
95.505,53.101,-753768,-800000,-79.909,-136.704
101.232,55.721,-748743,-800000,-79.94,-136.896
103.054,56.373,-743718,-800000,-79.972,-137.088
103.383,56.253,-738693,-800000,-80.003,-137.282
92.28,50.616,-733668,-800000,-80.034,-137.477
91.393,50.589,-728643,-800000,-80.065,-137.673
91.834,51.01,-723618,-800000,-80.096,-137.87
93.344,49.738,-718592,-800000,-80.126,-138.069
85.292,51.685,-713567,-800000,-80.157,-138.268
81.306,52.376,-708542,-800000,-80.188,-138.469
77.318,45.007,-703517,-800000,-80.218,-138.672
99.012,54.737,-698492,-800000,-80.248,-138.875
82.071,48.245,-693467,-800000,-80.278,-139.08
83.449,47.699,-688442,-800000,-80.308,-139.286
83.245,47.162,-683417,-800000,-80.338,-139.494
80.319,46.109,-678391,-800000,-80.368,-139.702
78.396,45.605,-673366,-800000,-80.398,-139.912
80.351,51.63,-668341,-800000,-80.427,-140.124
81.62,50.999,-663316,-800000,-80.457,-140.336
73.639,43.614,-658291,-800000,-80.486,-140.55
74.664,43.459,-653266,-800000,-80.515,-140.766
74.913,42.945,-648241,-800000,-80.544,-140.982
77.547,43.961,-643216,-800000,-80.573,-141.2
75.809,43.419,-638190,-800000,-80.602,-141.419
73.73,43.021,-633165,-800000,-80.63,-141.64
76.785,44.152,-628140,-800000,-80.659,-141.862
91.422,47.877,-623115,-800000,-80.687,-142.085
79.621,43.399,-618090,-800000,-80.715,-142.31
99.9,53.537,-613065,-800000,-80.743,-142.536
104.508,55.94,-608040,-800000,-80.771,-142.763
92.275,51.668,-603015,-800000,-80.799,-142.992
83.898,46.212,-597989,-800000,-80.826,-143.222
83.434,47.511,-592964,-800000,-80.854,-143.454
83.902,48.775,-587939,-800000,-80.881,-143.687
68.604,33.622,-582914,-800000,-80.908,-143.921
68.025,31.608,-577889,-800000,-80.935,-144.157
68.174,32.882,-572864,-800000,-80.962,-144.394
68.564,33.512,-567839,-800000,-80.989,-144.633
69.313,34.747,-562814,-800000,-81.015,-144.873
81.357,43.072,-557788,-800000,-81.042,-145.114
69.586,37.032,-552763,-800000,-81.068,-145.357
81.995,43.192,-547738,-800000,-81.094,-145.602
69.62,32.846,-542713,-800000,-81.12,-145.847
70.883,34.748,-537688,-800000,-81.146,-146.095
70.182,32.821,-532663,-800000,-81.171,-146.343
74.563,39.779,-527638,-800000,-81.196,-146.593
69.377,31.435,-522613,-800000,-81.222,-146.845
69.811,33.891,-517587,-800000,-81.247,-147.098
69.761,33.844,-512562,-800000,-81.272,-147.352
69.4,33.616,-507537,-800000,-81.296,-147.608
69.018,33.095,-502512,-800000,-81.321,-147.865
69.046,32.97,-497487,-800000,-81.345,-148.124
69.221,32.08,-492462,-800000,-81.37,-148.384
67.645,29.97,-487437,-800000,-81.394,-148.646
66.753,30.507,-482412,-800000,-81.417,-148.909
66.302,31.187,-477386,-800000,-81.441,-149.174
65.508,31.7,-472361,-800000,-81.465,-149.44
65.084,31.766,-467336,-800000,-81.488,-149.708
71.591,42.845,-462311,-800000,-81.511,-149.977
71.337,40.503,-457286,-800000,-81.534,-150.247
70.541,38.414,-452261,-800000,-81.557,-150.519
70.738,37.715,-447236,-800000,-81.579,-150.793
72.3,38.698,-442211,-800000,-81.602,-151.068
74.075,40.237,-437185,-800000,-81.624,-151.344
74.566,41.134,-432160,-800000,-81.646,-151.622
75.06,41.147,-427135,-800000,-81.667,-151.901
73.246,41.949,-422110,-800000,-81.689,-152.182
71.016,41.83,-417085,-800000,-81.71,-152.464
72.547,43.091,-412060,-800000,-81.732,-152.748
80.787,45.099,-407035,-800000,-81.753,-153.033
83.975,44.858,-402010,-800000,-81.773,-153.32
81.481,43.22,-396984,-800000,-81.794,-153.608
78.028,41.723,-391959,-800000,-81.814,-153.897
75.678,40.974,-386934,-800000,-81.834,-154.188
75.503,41.705,-381909,-800000,-81.854,-154.481
76.886,44.018,-376884,-800000,-81.874,-154.775
79.364,47.853,-371859,-800000,-81.894,-155.07
88.004,46.85,-326633,-800000,-82.059,-157.79
87.317,46.377,-321608,-800000,-82.077,-158.099
94.135,49.987,-1000000,-794974,-78.282,-128.484
101.308,55.676,-994974,-794974,-78.318,-128.624
100.898,56.724,-989949,-794974,-78.353,-128.766
105.479,57.073,-984924,-794974,-78.389,-128.908
114.935,60.096,-979899,-794974,-78.425,-129.052
124.896,64.136,-974874,-794974,-78.46,-129.196
125.959,64.99,-969849,-794974,-78.496,-129.341
98.449,51.322,-964824,-794974,-78.531,-129.487
84.371,45.36,-959799,-794974,-78.566,-129.634
80.794,39.7,-954773,-794974,-78.602,-129.782
93.369,50.994,-949748,-794974,-78.637,-129.931
92.992,56.574,-944723,-794974,-78.672,-130.08
98.944,55.44,-939698,-794974,-78.707,-130.231
97.486,54.016,-934673,-794974,-78.742,-130.382
98.661,55.054,-929648,-794974,-78.777,-130.535
104.863,57.883,-924623,-794974,-78.811,-130.688
109.918,59.969,-919598,-794974,-78.846,-130.843
111.439,60.128,-914572,-794974,-78.881,-130.998
108.333,58.608,-909547,-794974,-78.915,-131.155
104.096,56.489,-904522,-794974,-78.95,-131.312
117.22,60.155,-899497,-794974,-78.984,-131.47
113.528,59.822,-894472,-794974,-79.018,-131.63
105.445,56.724,-889447,-794974,-79.053,-131.79
92.27,47.267,-884422,-794974,-79.087,-131.951
100.401,52.324,-879397,-794974,-79.121,-132.114
102.039,53.701,-874371,-794974,-79.155,-132.277
106.06,56.182,-869346,-794974,-79.189,-132.441
106.188,56.264,-864321,-794974,-79.223,-132.607
102.08,54.04,-859296,-794974,-79.256,-132.773
91.978,47.041,-854271,-794974,-79.29,-132.941
95.079,49.16,-849246,-794974,-79.323,-133.11
102.143,52.79,-844221,-794974,-79.357,-133.279
110.815,56.289,-839196,-794974,-79.39,-133.45
119.129,58.055,-834170,-794974,-79.423,-133.622
126.592,59.83,-829145,-794974,-79.457,-133.795
130.13,60.826,-824120,-794974,-79.49,-133.969
130.792,61.23,-819095,-794974,-79.523,-134.144
125.225,59.831,-814070,-794974,-79.556,-134.32
122.299,59.394,-809045,-794974,-79.588,-134.497
123.323,60.323,-804020,-794974,-79.621,-134.676
120.941,60.833,-798995,-794974,-79.654,-134.856
114.435,60.047,-793969,-794974,-79.686,-135.036
